Handle,Predict 1,Predict 2,Predict 3,Predict 4,Predict 5,Has Description
ahsap-topuk-torpusu,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Kozmetik Aletleri > Cilt Bakım Aletleri > Ayak Törpüleri,Sağlık ve Güzellik > Kişisel Bakım > Sırt Bakımı,Sağlık ve Güzellik > Kişisel Bakım > Ayak Bakımı,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Tırnak Bakımı,Sağlık ve Güzellik > Mücevher Temizlik ve Bakımı,true
bokoma-kafa-masaj-aleti,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Aletleri,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Aletleri > Masaj Minderleri,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Aletleri > Elektrikli Masaj Aletleri,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Aletleri > Manuel Masaj Araçları,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Masaları,true
speed-out-hasar-gormus-vida-cikarici,Hırdavat > Yapı Malzemeleri > Yalıtım,Hırdavat > Tesisat Aksesuarları > Teçhizat Bağlama Elemanları > Vidalar,Ev ve Bahçe > Acil Durum Hazırlığı > Mobilya Sabitleyiciler,Hırdavat > Sıhhi Tesisat > Sıhhi Tesisat Bağlantı Parçaları > Duvara Monte Taşıyıcılar ve Montaj Askıları,Ev ve Bahçe > Ev Aleti Aksesuarları > Vantilatör Aksesuarları,true
tukenmez-buz-kupleri-20-adet,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Buz Küpü Kalıpları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Buz Yapıcılar,İş ve Endüstri > Yemek Servisi > Buz Kutuları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Buzdolapları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Buz Yapıcı Aksesuarları,true
cekic-parmak-yastigi,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Kozmetik Aletleri > Tırnak Bakım Aletleri > Manikür ve Pedikür Parmak Ayraçları,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Kozmetik Aletleri > Makyaj Aletleri > Kirpik Kıvırıcılar,Sağlık ve Güzellik > Kişisel Bakım > Kulak Bakımı > Kulak Şırıngaları,Hırdavat > Alet Aksesuarları > Çekiç Aksesuarları,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Kozmetik Aletleri,true
duzgun-sac-kesme-terazisi-2li,Sağlık ve Güzellik > Kişisel Bakım > Saç Bakımı > Saç Şekillendirme Aletleri,Hırdavat > Aletler > Alet Bıçakları,Sağlık ve Güzellik > Kişisel Bakım > Saç Bakımı > Saç Şekillendirme Aletleri > Saç Düzleştiriciler,Sağlık ve Güzellik > Kişisel Bakım > Saç Bakımı > Saç Şekillendirme Aletleri > Saç Maşaları,Hırdavat > Alet Aksesuarları > Kesici Aksesuarları,true
lavabo-acici-turbo-sink-snake-lavabo-acici-2-adet,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Lavabo Kenarı Düzenleyicileri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Tuvalet Temizleyicileri,Hırdavat > Sıhhi Tesisat > Su Tahliye Teçhizatı ve Parçaları > Lavabo Aksesuarları,Hırdavat > Sıhhi Tesisat > Su Tahliye Teçhizatı ve Parçaları > Lavabo Aksesuarları > Lavabo Ayakları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Lavabo Paspasları ve Izgaraları,true
akilli-anahtar-organizeri-12-anahtar-hazneli-anahtarlik-clever-key-smart,Hırdavat > Kilitler ve Anahtarlar > Anahtar Başlıkları,Hırdavat > Aletler > Alet Anahtarları,Elektronik > Elektronik Alet Aksesuarları > Ses ve Görüntü Ayırıcıları ve Anahtarları,Hırdavat > Kilitler ve Anahtarlar > Ham Anahtarlar,Hırdavat > Kilitler ve Anahtarlar,true
bel-ve-kalca-form-aleti-waist-twisting-disc,Spor Malzemeleri > Egzersiz ve Fitness > El Egzersiz Aletleri,Spor Malzemeleri > Egzersiz ve Fitness > Egzersiz Bantları,Spor Malzemeleri > Egzersiz ve Fitness > Egzersiz Makineleri ve Ekipman Setleri,Spor Malzemeleri > Egzersiz ve Fitness > Egzersiz Sehpaları,Spor Malzemeleri > Egzersiz ve Fitness > Denge Eğitim Aletleri,true
mikrofiber-duster-toz-alici-asorti,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Kumaş ve Döşeme Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Kumaş ve Döşeme Koruyucular,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Tufal ve Kireç Gidericiler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri,true
topuklu-ayakkabi-altina-yapisan-kaydirmaz-tabanlik,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları > Ayakkabı Bağcıkları,Oyuncaklar ve Oyunlar > Oyuncaklar > Spor Oyuncakları > Ayak topları,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları > Ayakkabı Astarları,Kıyafet ve Aksesuarlar > Kostümler ve Aksesuarlar > Kostüm Ayakkabıları,true
ahsap-denge-oyunu-jenga-54-parca,Oyuncaklar ve Oyunlar > Oyunlar > İskambil Oyunları,Oyuncaklar ve Oyunlar > Oyuncaklar > Yapı Oyuncakları > Tahta Bloklar,Oyuncaklar ve Oyunlar > Oyuncaklar > Yapı Oyuncakları > Köpük Bloklar,Oyuncaklar ve Oyunlar > Oyuncaklar > Yapı Oyuncakları > Birbirine Geçen Bloklar,Oyuncaklar ve Oyunlar > Oyunlar > Dizme Oyunları,true
cekcekli-pratik-cam-silme-aparati-kisa,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler > Cam Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler > Çoklu Yüzey Temizleyicileri,Büro Malzemeleri > Ofis Ekipmanları,Büro Malzemeleri > Ofis Aletleri,true
lcd-ekranli-dijital-isikli-mutfak-tartisi,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Yiyecek Öğütücü Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Fritözler,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Et Dilimleyiciler,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Taşınabilir Pişirme Ocağı Aksesuarları,true
ozel-kutulu-mini-dikis-seti,Sanat ve Eğlence > Hobiler ve Sanatsal Çalışmalar > Sanatlar ve El İşleri > Sanat ve El İşi Setleri > Dikiş Setleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Saklama ve Düzenleme > Ev Çekmece Düzenleyicileri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Çekçekler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Saklama ve Düzenleme > Ev Eşyası Saklama Çekmeceleri,true
