ID	categoryName
1	Animals & Pet Supplies
2	Animals & Pet Supplies > Live Animals
3	Animals & Pet Supplies > Pet Supplies
4	Animals & Pet Supplies > Pet Supplies > Bird Supplies
5	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories
6	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Bird Baths
7	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Food & Water Dishes
8	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cages & Stands
9	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Food
10	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Gyms & Playstands
11	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Ladders & Perches
12	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Toys
13	Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Treats
14	Animals & Pet Supplies > Pet Supplies > Cat Supplies
15	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Apparel
16	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds
17	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food
18	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Non-prescription Cat Food
19	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Prescription Cat Food
20	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture
21	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture Accessories
22	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter
23	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Liners
24	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Mats
25	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes
26	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys
27	Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Treats
28	Animals & Pet Supplies > Pet Supplies > Dog Supplies
29	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel
30	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Beds
31	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Diaper Pads & Liners
32	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Diapers
33	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food
34	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food > Non-prescription Dog Food
35	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food > Prescription Dog Food
36	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Houses
37	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennel & Run Accessories
38	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennels & Runs
39	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys
40	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Treadmills
41	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Treats
42	Animals & Pet Supplies > Pet Supplies > Fish Supplies
43	Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium & Pond Tubing
44	Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Air Stones & Diffusers
45	Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Cleaning Supplies
46	Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Decor
47	Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Filters
48	Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Fish Nets
49	Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Gravel & Substrates
50	Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Lighting
